Date,Open,High,Low,Close,Adj Close,Volume
2018-05-25,6951.47021484375,6982.52001953125,6941.85009765625,6960.919921875,6960.919921875,1757660000
2018-05-29,6928.5,6964.64990234375,6887.1201171875,6926.5400390625,6926.5400390625,2087370000
2018-05-30,6955.58984375,6987.6298828125,6938.02001953125,6976.3701171875,6976.3701171875,2049450000
2018-05-31,6969.93017578125,7016.419921875,6955.990234375,6967.72998046875,6967.72998046875,2514610000
2018-06-01,7010.080078125,7084.83984375,7008.02001953125,7083.93017578125,7083.93017578125,2208600000
2018-06-04,7099.5,7146.77001953125,7099.08984375,7143.56982421875,7143.56982421875,2142790000
2018-06-05,7162.41015625,7179.81982421875,7137.1298828125,7166.75,7166.75,2058630000
2018-06-06,7180.240234375,7212.4501953125,7140.919921875,7210.080078125,7210.080078125,2191750000
2018-06-07,7212.43017578125,7212.43017578125,7115.85986328125,7152.830078125,7152.830078125,2328280000
2018-06-08,7121.759765625,7161.919921875,7100.72998046875,7152.6201171875,7152.6201171875,1941580000
2018-06-11,7149.64990234375,7187.4501953125,7146.08984375,7168.47998046875,7168.47998046875,1942940000
2018-06-12,7181.669921875,7214.490234375,7173.759765625,7209.18017578125,7209.18017578125,2006760000
2018-06-13,7219.580078125,7261.169921875,7193.02001953125,7205.259765625,7205.259765625,2172770000
2018-06-14,7233.7001953125,7291.31005859375,7233.7001953125,7279.58984375,7279.58984375,2188230000
2018-06-15,7245.16015625,7268.83984375,7220.97021484375,7255.759765625,7255.759765625,3043790000
2018-06-18,7201.18017578125,7256.43017578125,7186.16015625,7251.41015625,7251.41015625,2093950000
2018-06-19,7158.7998046875,7229.990234375,7138.02001953125,7228.0400390625,7228.0400390625,2269000000
2018-06-20,7264.85009765625,7309.990234375,7256.8701171875,7280.7001953125,7280.7001953125,2305100000
2018-06-21,7304.0498046875,7308.259765625,7203.93017578125,7217.490234375,7217.490234375,2315880000
2018-06-22,7239.72021484375,7239.75,7177.4599609375,7197.509765625,7197.509765625,3928340000
2018-06-25,7131.0498046875,7144.2900390625,6976.9599609375,7038.169921875,7038.169921875,2415090000
2018-06-26,7061.22998046875,7108.4501953125,7040.06005859375,7068.2001953125,7068.2001953125,2058640000
2018-06-27,7096.60009765625,7128.77001953125,6968.2998046875,6969.669921875,6969.669921875,2286430000
2018-06-28,6963.3701171875,7055.25,6950.22998046875,7031.60009765625,7031.60009765625,2195400000
2018-06-29,7071.490234375,7101.830078125,7031.39990234375,7040.7998046875,7040.7998046875,2192010000
2018-07-02,6979.5400390625,7099.27001953125,6969.16015625,7097.81982421875,7097.81982421875,1767910000
2018-07-03,7121.7099609375,7122.4501953125,7009.509765625,7014.5498046875,7014.5498046875,1179310000
2018-07-05,7064.0,7105.5400390625,7025.25,7101.0498046875,7101.0498046875,1745030000
2018-07-06,7114.169921875,7217.0,7106.10009765625,7207.330078125,7207.330078125,1704580000
2018-07-09,7251.18017578125,7277.580078125,7221.31982421875,7276.0,7276.0,1837330000
2018-07-10,7287.0498046875,7297.7900390625,7257.490234375,7282.60009765625,7282.60009765625,1725210000
2018-07-11,7221.66015625,7271.1201171875,7220.22998046875,7243.97998046875,7243.97998046875,1761420000
2018-07-12,7276.3798828125,7368.72021484375,7274.16015625,7366.25,7366.25,1926110000
2018-07-13,7372.27978515625,7387.740234375,7348.9599609375,7375.81982421875,7375.81982421875,1714140000
2018-07-16,7381.02978515625,7390.64013671875,7346.33984375,7357.89990234375,7357.89990234375,1730190000
2018-07-17,7291.47998046875,7418.43017578125,7288.2998046875,7403.89013671875,7403.89013671875,1740680000
2018-07-18,7407.25,7411.25,7368.35986328125,7390.1298828125,7390.1298828125,1857670000
2018-07-19,7364.66015625,7388.990234375,7344.330078125,7352.35986328125,7352.35986328125,1853030000
2018-07-20,7379.1298828125,7398.58984375,7343.3701171875,7350.22998046875,7350.22998046875,1786250000
