"x1" "x2" "x3" "x4"
"1" -5.72201264984558 -4.62096887203402 -6.52977560592803 10.7869235185183
"2" -5.209511980066 -5.93871488020443 -2.48805576975411 6.16315531048724
"3" -7.01010804143822 -3.77368019418961 -7.77947384216015 2.30834163974406
"4" -6.09437384421937 -3.2542129439228 -1.81391923723801 -1.30698822039776
"5" -4.98980093861232 -4.24355462303753 -7.23545652160946 -4.00798221243871
"6" -2.54004790977575 -3.45055464922872 -5.36193816840966 -2.73510913972251
"7" -5.74685373449498 -2.01717110689877 -5.5917078909046 0.533701089146653
"8" -4.14822406847603 -7.6058849685513 -6.77124820569236 4.91202897261217
"9" -7.24376914465589 -3.41242647632216 -2.24991307646771 10.3549435232784
"10" -4.63046739819574 -4.41630796121448 -6.11569221734434 15.1928339194425
"11" -4.90264964107447 -3.326208447605 -6.14343370299587 19.8821423856222
"12" -4.09978511207195 -5.01023982006047 -3.11476815234602 24.374399822396
"13" -3.87115259461864 -7.18827961433071 -8.47840080008209 27.6988932224882
"14" -5.27705140601865 -3.82490871632699 -3.64331786601261 29.7642130844544
"15" -5.01634104941809 -7.0177639730641 -4.22812143726866 31.4895994716863
"16" -3.42464237706816 -5.56760242399112 -5.60837539950957 31.899107189968
"17" -5.14411866857297 -4.65947048536407 -2.65646928290312 31.2657985726137
"18" -4.13231645049145 -7.19211634237389 -8.04584702800108 29.5313208884823
"19" -6.64305026735607 -5.74199028917987 -4.34663275200237 28.0004514364374
"20" -5.45608031153354 -5.3498250265533 -6.0321080325202 26.3797595344219
"21" -7.30628122502364 -6.97518722794248 -2.81028329278714 23.9674441030979
"22" -3.08034475487511 -3.02679932331597 -4.1608132120265 20.942276141795
"23" -6.36088084636823 -6.68498566724825 -4.70081715670437 18.7516894489284
"24" -3.24589339211739 -3.3863964137531 -2.82782552766406 16.3117281492989
"25" -6.66587265920285 -5.14430595165081 -6.52790114678711 15.271191648743
"26" -3.65581878533429 -5.41617131227737 -5.45877317823252 14.1707639556796
"27" -5.39544196189244 -3.86808662252443 -5.70049863914797 12.8448239696915
"28" -2.55468758542923 -4.43948729379193 -4.29630143061699 9.77820528340014
"29" -5.06835319235363 -4.34061546971857 -2.04570763860985 6.47896587410085
"30" -4.5224468946858 -3.0161402104847 -5.64882195378836 2.37130329469298
"31" -5.6274243404849 -3.66659155420772 -5.80358567084869 1.03163294883466
"32" -5.56831950143695 -4.02890418076562 -5.46435193267394 0.918936765475571
"33" -2.99490079334854 -5.78204862998569 -2.98922760176805 2.04336729956556
"34" -6.55388031337479 -5.89734241673282 -5.16622556201845 3.72271666904567
"35" -1.15949095280122 -3.21899585733346 -5.9709648807175 3.16179470894276
"36" -7.66401143218812 -4.28074446538019 -4.6215802456823 3.17370359552712
"37" -2.75688078483543 -4.55881977559628 -4.22665711770669 3.781068329601
"38" -4.24783689790478 -4.85760890038744 -2.13754191404487 3.69370766722012
"39" -6.24618057043095 -3.79845956791753 -5.93221299849497 4.42695487002587
"40" -4.87766164300393 -5.19891786668772 -2.39111531473596 7.25739190606246
"41" -4.75778054150302 -6.69514358939301 -5.43853796202414 10.2979176176096
"42" -6.58821082907165 -5.2682588035414 -6.51920706482065 14.4509392531431
"43" -2.44182495828906 -5.82668569009567 -4.1764692346965 18.0237199256905
"44" -6.3063521142146 -4.7776272639558 -7.08966778554649 21.333918783652
"45" -6.73540541015579 -1.39616010081612 -2.6330075238536 26.197719614814
"46" -7.0391092334528 -4.64879588274455 -6.54816848170192 30.9079632296585
"47" -7.10099104542298 -4.84021301371739 -5.44068132786596 35.8666480324115
"48" -5.42492076825223 -5.25600736819894 -5.34500380693359 38.9058668562054
